Designator*,Quantity*,Manufacturer Part Number*,Manufacturer,Package/Footprint,Description,Procurement Type,Customer Note
"C101,C102",2,GRM1885C2A222JA01D,Murata Electronics,0603 (1608 Metric),2.2nF 100V,,2.2nF ±5% 100V C0G/NP0
"C201,C303,C403,C404,C602,C612",6,GRM155R61A105KE15D,Murata Electronics,0402 (1005 Metric),1uF 10V,,1uF ±10% 10V X5R
"C301,C405,C406,C407,C408,C601,C608,C609,C610,C611",10,GRM155R71A104KA01D,Murata Electronics,0402 (1005 Metric),0.1uF 10V,,0.1uF ±10% 10V X7R
C302,1,GRM21BR61A226ME44L,Murata Electronics,0805 (2012 Metric),22uF 10V,,22uF ±20% 10V X5R
"C304,C305",2,GRM21BR61A226ME44L,Murata Electronics,0805 (2012 Metric),22uF 10V,,22uF ±20% 10V X5R
C401,1,GRM155R71A104KA01D,Murata Electronics,0402 (1005 Metric),0.1uF/ 10V,,0.1uF ±10% 10V X7R
C402,1,GRM155R71A104KA01D,Murata Electronics,0402 (1005 Metric),100nF 10V,,100nF = 0.1uF ±10% 10V X7R
C409,1,CC0603KRX5R6BB475,YAGEO,0603 (1608 Metric),4.7uF 10V,,4.7uF ±10% 10V X5R
C501,1,GRM1555C1H150JA01D,Murata Electronics,0402 (1005 Metric),15p/ 10V,,15pF ±5% 50V C0G/NP0
C502,1,GRM1555C1H150JA01D,Murata Electronics,0402 (1005 Metric),15p 10V,,15pF ±5% 50V C0G/NP0
"C503,C504",2,GRM1555C1H150JA01D,Murata Electronics,0402 (1005 Metric),15pF 10V,,15pF ±5% 50V C0G/NP0
"C505,C507,C509",3,GRM155R61A105KE15D,Murata Electronics,0402 (1005 Metric),1u / 10V,,1uF ±10% 10V X5R
"C506,C508,C510,C511,C512,C513",6,GRM155R71H102KA01D,Murata Electronics,0402 (1005 Metric),1n / 10V,,1nF ±10% 50V X7R
C514,1,CC0805KRX5R6BB106,YAGEO,0805 (2012 Metric),10u / 10V,,10uF ±10% 10V X5R
C515,1,GRM155R71A104KA01D,Murata Electronics,0402 (1005 Metric),100n,,100nF 10V X7R selected
"C603,C604,C605,C606,C607,C613",6,GRM155R61A225KE95D,Murata Electronics,0402 (1005 Metric),2.2uF 10V,,2.2uF ±10% 10V X5R
"C701,C702",2,GRM155R61A105KE15D,Murata Electronics,0402 (1005 Metric),1uF/10V,,1uF ±10% 10V X5R
D301,1,SMF5V0A-E3-08,Vishay,SMF (DO-219AB),SMF5V0A,,"5V TVS diode, full orderable MPN"
"D302,D401",2,LTST-C190KRKT,Lite-On,0603 (1608 Metric),LED RED,,"Red LED, matches schematic value LED RED"
"D801,D802,D803",3,LTST-C190KGKT,Lite-On,0603 (1608 Metric),LED,,VERIFY | Original BOM says only LED; selected GREEN 0603 LED as an explicit assumption. Change MPN if a different color is intended.
"J101,J102",2,U262-161N-4BVC11,XKB Connection,"USB-C receptacle, 16P, right-angle",USB_C_Receptacle_USB2.0_16P,,Corrected actual manufacturer MPN; KiCad footprint name uses U262-16XN-4BVC11.
J501,1,61300211121,Würth Elektronik,"THT 1x2, 2.54mm vertical",Conn_01x02,,Concrete part selected for generic 2-pin 2.54mm header.
J801,1,SM12B-SRSS-TB(LF)(SN),JST,"SH 1x12, 1.00mm, right-angle SMD",Conn_01x12,,Full orderable JST MPN.
J802,1,SM03B-GHS-TB(LF)(SN),JST,"GH 1x3, 1.25mm, right-angle SMD",Conn_01x03,,Full orderable JST MPN.
L301,1,WPN4020H2R2MT,Sunlord,SMD 4.0x4.0x2.0mm,"2.2uH/4,3A",,VERIFY | 2.2uH / 4.3A exact electrical match. Your KiCad footprint is named SWPA4020S; verify pad geometry against WPN4020H datasheet before fabrication.
"R101,R102",2,RC0100FR-071ML,YAGEO,01005 (0402 Metric),1M/1%,,"1MΩ ±1%, 1/32W"
"R103,R104",2,L4CL1206LR002FNR,Littelfuse,"1206 (3216 Metric), 4-terminal",2m/1%,,"VERIFY | 2mΩ ±1% current-sense resistor. Original footprint is Ohmite LVK12, but LVK12 starts at 10mΩ; verify/change PCB footprint to the Littelfuse 4-terminal land pattern before ordering."
"R105,R106",2,RC0100FR-075K49L,YAGEO,01005 (0402 Metric),5.5K/1%,,VERIFY | Selected 5.49kΩ ±1% E96 value as the practical exact part for schematic value 5.5K/1%.
"R107,R108",2,RC0100FR-072ML,YAGEO,01005 (0402 Metric),2M/1%,,"2MΩ ±1%, 1/32W"
"R201,R203,R205,R301",4,RC0100FR-07100KL,YAGEO,01005 (0402 Metric),100K/1%,,"100kΩ ±1%, 1/32W"
"R202,R204",2,RC0100FR-07150KL,YAGEO,01005 (0402 Metric),150K/1%,,"150kΩ ±1%, 1/32W"
R302,1,RC0100FR-0722K1L,YAGEO,01005 (0402 Metric),22.1K/1%,,"22.1kΩ ±1%, 1/32W"
"R303,R503",2,RC0100FR-071KL,YAGEO,01005 (0402 Metric),1K/1%,,"1kΩ ±1%, 1/32W"
R401,1,RC0100FR-071ML,YAGEO,01005 (0402 Metric),1M 1%,,"1MΩ ±1%, 1/32W"
R402,1,RC0100FR-0712KL,YAGEO,01005 (0402 Metric),12K 1%,,"12kΩ ±1%, 1/32W"
R403,1,RC0100FR-07330RL,YAGEO,01005 (0402 Metric),330 1%,,"330Ω ±1%, 1/32W"
"R404,R405,R406",3,RC0100FR-0710KL,YAGEO,01005 (0402 Metric),10K 1%,,"10kΩ ±1%, 1/32W"
"R501,R502",2,RC0100FR-0727R4L,YAGEO,01005 (0402 Metric),27.4/1%,,"27.4Ω ±1%, 1/32W"
R504,1,RC0402FR-071KL,YAGEO,0402 (1005 Metric),1k/1%,,"1kΩ ±1%, 1/16W"
"R506,R507",2,RC0100FR-074K7L,YAGEO,01005 (0402 Metric),4.7k/1%,,"4.7kΩ ±1%, 1/32W"
"R601,R602,R603,R604,R605,R606,R607,R608",8,RC0100FR-0747KL,YAGEO,01005 (0402 Metric),47K/1%,,"47kΩ ±1%, 1/32W"
"R609,R611",2,RC0100FR-0710KL,YAGEO,01005 (0402 Metric),10K/1%,,"10kΩ ±1%, 1/32W"
